code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.06618,京东健康,2025-07-07,40.95,41.85,42.35,40.95,29.807,0.00192,6143440,255951036.0,0.8433734939759071,41.5
HK.06618,京东健康,2025-07-08,42.2,43.5,43.65,41.9,30.982,0.00242,7731219,331300699.0,3.9426523297491003,41.85
HK.06618,京东健康,2025-07-09,43.15,43.65,43.95,42.75,31.089,0.00152,4856550,210561717.0,0.3448275862068933,43.5
HK.06618,京东健康,2025-07-10,43.9,42.7,44.6,42.6,30.413,0.00205,6563371,284419480.0,-2.1764032073310324,43.65
HK.06618,京东健康,2025-07-11,42.5,42.6,43.6,42.5,30.341,0.00236,7548030,324936720.0,-0.23419203747072928,42.7
HK.06618,京东健康,2025-07-14,42.0,43.75,44.35,41.9,31.16,0.00202,6456820,278842527.0,2.6995305164319214,42.6
HK.06618,京东健康,2025-07-15,44.0,45.35,45.55,43.8,32.3,0.00342,10928901,492085827.0,3.65714285714286,43.75
HK.06618,京东健康,2025-07-16,45.85,45.65,47.3,45.5,32.514,0.00467,14928713,690445740.0,0.6615214994487257,45.35
HK.06618,京东健康,2025-07-17,45.5,46.85,47.5,44.95,33.368,0.00321,10275929,481677125.0,2.628696604600225,45.65
HK.06618,京东健康,2025-07-18,47.4,47.7,48.1,46.85,33.974,0.00223,7149341,339735859.0,1.8143009605122762,46.85
HK.06618,京东健康,2025-07-21,48.2,48.3,48.45,46.85,34.401,0.00296,9461978,453818022.0,1.2578616352201137,47.7
HK.06618,京东健康,2025-07-22,47.8,47.85,48.95,47.1,34.081,0.00248,7932781,380191517.0,-0.9316770186335316,48.3
HK.06618,京东健康,2025-07-23,48.0,48.75,49.05,47.3,34.722,0.00348,11130736,537735996.0,1.8808777429467054,47.85
HK.06618,京东健康,2025-07-24,47.75,48.4,49.4,47.75,34.472,0.00291,9318907,453481395.0,-0.717948717948721,48.75
HK.06618,京东健康,2025-07-25,48.4,48.15,49.35,47.65,34.294,0.00314,10045857,484012109.0,-0.5165289256198348,48.4
HK.06618,京东健康,2025-07-28,48.0,48.7,48.8,47.5,34.686,0.00226,7231184,349992782.0,1.142263759086198,48.15
HK.06618,京东健康,2025-07-29,48.0,49.95,50.0,47.8,35.576,0.00269,8607040,424544653.0,2.5667351129363447,48.7
HK.06618,京东健康,2025-07-30,49.6,50.25,51.8,49.1,35.79,0.00434,13898546,702327237.0,0.6006006006005948,49.95
HK.06618,京东健康,2025-07-31,50.25,50.3,50.7,49.4,35.826,0.00224,7178815,359582518.0,0.09950248756218338,50.25
HK.06618,京东健康,2025-08-01,49.6,48.75,50.3,48.65,34.722,0.00277,8866723,435864146.0,-3.081510934393633,50.3
HK.06618,京东健康,2025-08-04,48.14,49.92,49.94,48.04,35.555,0.00236,7566094,371544340.0,2.4000000000000035,48.75
HK.06618,京东健康,2025-08-05,49.92,50.95,51.05,49.6,36.289,0.00174,5556840,280249992.0,2.063301282051284,49.92
HK.06618,京东健康,2025-08-06,50.8,52.3,52.6,50.8,37.25,0.00229,7325910,380262384.0,2.649656526005877,50.95
HK.06618,京东健康,2025-08-07,53.85,51.8,53.85,51.55,36.894,0.00185,5934259,309252605.0,-0.9560229445506693,52.3
HK.06618,京东健康,2025-08-08,51.05,52.8,52.9,51.05,37.606,0.00161,5138663,269236680.0,1.9305019305019304,51.8
HK.06618,京东健康,2025-08-11,53.0,52.5,53.35,51.85,37.393,0.00187,5985180,314173689.0,-0.5681818181818128,52.8
HK.06618,京东健康,2025-08-12,52.5,53.9,54.35,52.3,38.39,0.00247,7916292,423572633.0,2.666666666666664,52.5
HK.06618,京东健康,2025-08-13,54.4,55.95,56.2,54.4,39.85,0.00254,8139763,452333629.0,3.80333951762524,53.9
HK.06618,京东健康,2025-08-14,56.6,54.85,57.1,54.4,39.066,0.00363,11612762,643018365.0,-1.9660411081322635,55.95
HK.06618,京东健康,2025-08-15,56.5,61.25,64.0,56.4,43.625,0.00937,29983435,1837545799.0,11.668185961713762,54.85
HK.06618,京东健康,2025-08-18,61.85,66.4,68.1,61.85,47.293,0.00734,23480821,1540599174.0,8.408163265306131,61.25
HK.06618,京东健康,2025-08-19,66.65,66.55,69.35,65.6,47.4,0.00682,21823977,1463926175.0,0.22590361445781848,66.4
HK.06618,京东健康,2025-08-20,65.1,63.65,65.8,61.9,45.334,0.00633,20255730,1285845041.0,-4.3576258452291485,66.55
HK.06618,京东健康,2025-08-21,64.2,64.45,66.35,63.65,45.904,0.0047,15032472,973928035.0,1.256873527101342,63.65
HK.06618,京东健康,2025-08-22,65.3,63.5,65.4,62.55,45.227,0.00418,13374518,847355258.0,-1.4740108611326652,64.45
HK.06618,京东健康,2025-08-25,64.9,64.85,65.5,63.35,46.189,0.00386,12346081,792924303.0,2.125984251968495,63.5
HK.06618,京东健康,2025-08-26,62.9,65.4,66.2,62.9,46.581,0.005,15991369,1046360112.0,0.8481110254433483,64.85
HK.06618,京东健康,2025-08-27,65.7,63.3,65.7,62.7,45.085,0.00288,9209246,587023912.0,-3.2110091743119393,65.4
HK.06618,京东健康,2025-08-28,63.35,62.4,64.85,61.45,44.444,0.00378,12084075,754877645.0,-1.4218009478672964,63.3
HK.06618,京东健康,2025-08-29,62.4,62.8,64.15,60.75,44.729,0.00375,12008070,749560617.0,0.6410256410256387,62.4
HK.06618,京东健康,2025-09-01,63.85,64.1,64.95,63.1,45.655,0.00245,7838007,501464015.0,2.0700636942675117,62.8
HK.06618,京东健康,2025-09-02,62.8,63.05,64.1,62.2,44.907,0.00162,5175050,326219690.0,-1.6380655226209004,64.1
HK.06618,京东健康,2025-09-03,63.05,63.85,65.6,63.0,45.477,0.00243,7776851,497393025.0,1.268834258524987,63.05
HK.06618,京东健康,2025-09-04,64.5,64.4,65.25,63.15,45.868,0.00393,12576609,805366757.0,0.8613938919342276,63.85
HK.06618,京东健康,2025-09-05,64.4,63.85,65.0,61.8,45.477,0.00423,13537730,856958959.0,-0.8540372670807518,64.4
HK.06618,京东健康,2025-09-08,65.0,63.05,65.0,61.35,44.907,0.00409,13078803,821529078.0,-1.252936570086146,63.85
HK.06618,京东健康,2025-09-09,63.05,67.1,67.45,62.1,47.792,0.00558,17871757,1180833022.0,6.423473433782707,63.05
HK.06618,京东健康,2025-09-10,67.1,68.35,69.3,66.65,48.682,0.00374,11984749,818327627.0,1.8628912071535026,67.1
HK.06618,京东健康,2025-09-11,66.35,68.8,69.95,66.25,49.002,0.00287,9193646,632053507.0,0.6583760058522353,68.35
HK.06618,京东健康,2025-09-12,70.0,69.35,70.4,68.5,49.394,0.00238,7617335,528581770.0,0.7994186046511587,68.8
HK.06618,京东健康,2025-09-15,68.1,69.6,70.0,68.0,49.572,0.00209,6693131,463993296.0,0.36049026676279744,69.35
HK.06618,京东健康,2025-09-16,69.5,65.55,69.5,65.4,46.688,0.00281,8988980,594861376.0,-5.8189655172413755,69.6
HK.06618,京东健康,2025-09-17,65.6,68.55,68.75,65.6,48.824,0.00337,10798879,732420257.0,4.576659038901602,65.55
HK.06618,京东健康,2025-09-18,67.35,68.0,68.7,66.65,48.433,0.00326,10440244,708310824.0,-0.8023340627279317,68.55
HK.06618,京东健康,2025-09-19,68.55,68.85,69.85,67.9,49.038,0.00343,10968113,757249254.0,1.2499999999999916,68.0
HK.06618,京东健康,2025-09-22,68.85,67.55,69.75,66.85,48.112,0.00232,7412581,503005796.0,-1.8881626724763938,68.85
HK.06618,京东健康,2025-09-23,67.55,67.2,68.05,65.85,47.863,0.00163,5221516,348736703.0,-0.5181347150258984,67.55
HK.06618,京东健康,2025-09-24,66.95,67.75,68.4,66.75,48.254,0.00175,5607608,379478812.0,0.8184523809523767,67.2
HK.06618,京东健康,2025-09-25,67.0,67.4,68.1,66.95,48.005,0.00187,5987885,403716172.0,-0.5166051660516522,67.75
HK.06618,京东健康,2025-09-26,66.5,64.5,67.15,64.3,45.94,0.0018,5760780,375498133.0,-4.302670623145409,67.4
HK.06618,京东健康,2025-09-29,66.1,66.9,67.2,64.9,47.649,0.00248,7938844,524869382.0,3.7209302325581484,64.5
HK.06618,京东健康,2025-09-30,66.9,66.5,67.55,64.95,47.364,0.00209,6685852,442042695.0,-0.5979073243647319,66.9
HK.06618,京东健康,2025-10-02,66.45,66.7,67.7,65.65,47.507,0.00153,4900891,328500865.0,0.3007518796992524,66.5
HK.06618,京东健康,2025-10-03,66.0,65.8,66.6,65.1,46.866,0.0006,1923800,126215384.0,-1.3493253373313427,66.7
HK.06618,京东健康,2025-10-06,64.2,64.75,65.35,63.75,46.118,0.00058,1870537,120793837.0,-1.5957446808510596,65.8
HK.06618,京东健康,2025-10-08,66.9,66.75,67.75,65.9,47.542,0.00162,5181714,344526247.0,3.088803088803089,64.75
HK.06618,京东健康,2025-10-09,67.6,63.75,67.6,63.0,45.405,0.00269,8597425,549469457.0,-4.49438202247191,66.75
HK.06618,京东健康,2025-10-10,62.0,62.6,64.4,62.0,44.586,0.00179,5736828,361502393.0,-1.8039215686274486,63.75
HK.06618,京东健康,2025-10-13,62.0,61.45,62.0,59.7,43.767,0.00395,12644037,771116454.0,-1.8370607028753971,62.6
HK.06618,京东健康,2025-10-14,62.0,61.9,63.95,61.0,44.088,0.00375,12003675,748115149.0,0.7323026851098384,61.45
HK.06618,京东健康,2025-10-15,63.3,65.5,66.05,62.2,46.652,0.00316,10114638,655481346.0,5.815831987075931,61.9
HK.06618,京东健康,2025-10-16,65.3,64.25,65.5,63.3,45.762,0.00159,5096797,327549996.0,-1.9083969465648856,65.5
HK.06618,京东健康,2025-10-17,64.4,60.75,64.8,60.5,43.269,0.00237,7587603,466577368.0,-5.447470817120623,64.25
