code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00027,银河娱乐,2019-06-03 00:00:00,43.84,42.94,43.89,42.39,14.817,0.00303,13139181,608684469.0,-2.386906115026152,43.99
HK.00027,银河娱乐,2019-06-04 00:00:00,43.04,42.59,43.19,42.29,14.705,0.00236,10217026,470574893.0,-0.8150908244061349,42.94
HK.00027,银河娱乐,2019-06-05 00:00:00,44.59,43.54,44.69,42.99,15.009,0.00313,13570334,639663790.0,2.2305705564686447,42.59
HK.00027,银河娱乐,2019-06-06 00:00:00,43.99,43.39,44.29,43.09,14.961,0.00284,12294557,577536108.0,-0.3445107946715631,43.54
HK.00027,银河娱乐,2019-06-10 00:00:00,44.59,46.74,46.99,44.29,16.032,0.00479,20738943,1028958548.0,7.72067296612123,43.39
HK.00027,银河娱乐,2019-06-11 00:00:00,47.09,46.84,47.24,46.24,16.064,0.00257,11125398,557874019.0,0.21394950791613485,46.74
HK.00027,银河娱乐,2019-06-12 00:00:00,46.44,45.59,46.44,45.04,15.664,0.00162,7012608,343644525.0,-2.66865926558497,46.84
HK.00027,银河娱乐,2019-06-13 00:00:00,45.14,45.24,45.39,43.94,15.553,0.00205,8895453,426856898.0,-0.7677122175915801,45.59
HK.00027,银河娱乐,2019-06-14 00:00:00,44.89,45.09,45.64,44.54,15.505,0.00156,6757019,327441233.0,-0.33156498673739737,45.24
HK.00027,银河娱乐,2019-06-17 00:00:00,45.59,44.79,46.29,44.54,15.409,0.00135,5859000,284442412.0,-0.6653359946773215,45.09
HK.00027,银河娱乐,2019-06-18 00:00:00,45.09,45.79,45.99,44.64,15.728,0.00176,7613522,373411700.0,2.232641214556821,44.79
HK.00027,银河娱乐,2019-06-19 00:00:00,47.74,48.09,48.59,47.34,16.464,0.00371,16053682,827135905.0,5.022930770910689,45.79
HK.00027,银河娱乐,2019-06-20 00:00:00,48.49,48.74,48.94,47.94,16.671,0.00296,12830674,667352685.0,1.3516323559991652,48.09
HK.00027,银河娱乐,2019-06-21 00:00:00,48.69,47.74,48.69,47.19,16.352,0.00197,8517615,435395881.0,-2.051702913418137,48.74
HK.00027,银河娱乐,2019-06-24 00:00:00,47.44,47.59,47.84,47.24,16.304,0.00096,4140579,211000177.0,-0.31420192710514994,47.74
HK.00027,银河娱乐,2019-06-25 00:00:00,47.79,46.59,47.79,46.29,15.984,0.00124,5354695,268090008.0,-2.101281781886951,47.59
HK.00027,银河娱乐,2019-06-26 00:00:00,46.49,46.99,47.39,46.24,16.112,0.00124,5369379,270774116.0,0.858553337626097,46.59
HK.00027,银河娱乐,2019-06-27 00:00:00,47.59,48.94,49.19,47.24,16.735,0.00284,12322494,641898562.0,4.149819110449022,46.99
HK.00027,银河娱乐,2019-06-28 00:00:00,49.29,49.24,49.34,48.54,16.831,0.00257,11118447,583187128.0,0.6129955046996409,48.94
HK.00027,银河娱乐,2019-07-02 00:00:00,52.59,52.99,53.59,51.64,18.03,0.00653,28297196,1590672519.0,7.615759545085296,49.24
HK.00027,银河娱乐,2019-07-03 00:00:00,52.59,52.14,53.04,52.04,17.758,0.00143,6175409,344355114.0,-1.6040762408001537,52.99
HK.00027,银河娱乐,2019-07-04 00:00:00,53.04,52.09,53.34,51.94,17.742,0.00124,5381431,301403533.0,-0.09589566551591323,52.14
HK.00027,银河娱乐,2019-07-05 00:00:00,52.09,52.24,52.89,52.09,17.79,0.00109,4733516,264334694.0,0.28796314071798534,52.09
HK.00027,银河娱乐,2019-07-08 00:00:00,51.59,51.54,51.59,50.14,17.567,0.00263,11374853,619693747.0,-1.3399693721286423,52.24
HK.00027,银河娱乐,2019-07-09 00:00:00,52.09,51.19,52.64,50.59,17.455,0.00286,12401772,681721326.0,-0.6790842064416015,51.54
HK.00027,银河娱乐,2019-07-10 00:00:00,51.59,52.44,52.59,51.59,17.854,0.00215,9296213,518133654.0,2.441883180308654,51.19
HK.00027,银河娱乐,2019-07-11 00:00:00,52.59,52.29,52.99,51.69,17.806,0.00149,6448995,359504396.0,-0.2860411899313474,52.44
HK.00027,银河娱乐,2019-07-12 00:00:00,51.84,52.49,52.59,51.84,17.87,0.001,4329252,241251275.0,0.38248231019315904,52.29
HK.00027,银河娱乐,2019-07-15 00:00:00,51.79,52.29,52.44,50.79,17.806,0.00148,6411480,354139638.0,-0.3810249571346977,52.49
HK.00027,银河娱乐,2019-07-16 00:00:00,52.59,53.89,54.54,52.14,18.318,0.00296,12808411,732414573.0,3.059858481545231,52.29
HK.00027,银河娱乐,2019-07-17 00:00:00,53.39,53.69,53.79,53.19,18.254,0.0012,5210312,296934515.0,-0.3711263685284892,53.89
HK.00027,银河娱乐,2019-07-18 00:00:00,53.19,53.04,53.69,52.64,18.046,0.00107,4645090,262183298.0,-1.2106537530266317,53.69
HK.00027,银河娱乐,2019-07-19 00:00:00,53.54,54.04,54.09,53.24,18.366,0.00145,6262960,358761823.0,1.885369532428356,53.04
HK.00027,银河娱乐,2019-07-22 00:00:00,53.59,52.54,53.94,52.29,17.886,0.00128,5543776,311921720.0,-2.7757216876387862,54.04
HK.00027,银河娱乐,2019-07-23 00:00:00,52.69,52.74,53.04,51.89,17.95,0.00105,4550453,254361378.0,0.3806623524933438,52.54
HK.00027,银河娱乐,2019-07-24 00:00:00,53.09,52.79,53.69,52.69,17.966,0.0009,3893672,220006638.0,0.09480470231322935,52.74
HK.00027,银河娱乐,2019-07-25 00:00:00,52.89,52.29,53.24,52.29,17.806,0.00138,5998013,336249640.0,-0.9471490812653912,52.79
HK.00027,银河娱乐,2019-07-26 00:00:00,51.89,51.84,52.84,51.84,17.663,0.00148,6406131,356178472.0,-0.8605851979345874,52.29
HK.00027,银河娱乐,2019-07-29 00:00:00,51.59,51.19,51.89,50.29,17.455,0.00221,9554489,523319745.0,-1.2538580246913689,51.84
HK.00027,银河娱乐,2019-07-30 00:00:00,51.54,51.54,52.04,51.19,17.567,0.00101,4383469,241039893.0,0.6837272904864259,51.19
HK.00027,银河娱乐,2019-07-31 00:00:00,51.39,50.59,51.39,49.74,17.263,0.00205,8882384,477797204.0,-1.8432285603414742,51.54
HK.00027,银河娱乐,2019-08-01 00:00:00,49.59,49.84,50.39,48.74,17.023,0.00235,10190440,538358744.0,-1.4825064241945047,50.59
HK.00027,银河娱乐,2019-08-02 00:00:00,47.39,46.69,47.94,46.44,16.016,0.0039,16896389,853231335.0,-6.320224719101135,49.84
HK.00027,银河娱乐,2019-08-05 00:00:00,45.59,44.89,45.74,44.24,15.441,0.00304,13182110,635329843.0,-3.8552152495180922,46.69
HK.00027,银河娱乐,2019-08-06 00:00:00,43.19,44.69,44.89,43.19,15.377,0.0026,11268739,536510989.0,-0.4455335263978678,44.89
HK.00027,银河娱乐,2019-08-07 00:00:00,44.24,44.49,44.79,43.69,15.313,0.00229,9925322,472694956.0,-0.4475274110539175,44.69
HK.00027,银河娱乐,2019-08-08 00:00:00,44.29,44.44,45.29,44.14,15.297,0.00168,7262762,348387106.0,-0.11238480557429593,44.49
HK.00027,银河娱乐,2019-08-09 00:00:00,44.69,43.64,44.94,43.54,15.041,0.00203,8784298,414903964.0,-1.800180018001794,44.44
HK.00027,银河娱乐,2019-08-12 00:00:00,43.44,43.64,44.19,43.44,15.041,0.00093,4021929,189526992.0,0.0,43.64
HK.00027,银河娱乐,2019-08-13 00:00:00,42.89,40.89,43.19,40.89,14.162,0.00525,22728510,1024178295.0,-6.301558203483043,43.64
HK.00027,银河娱乐,2019-08-14 00:00:00,41.79,41.24,42.49,40.99,14.274,0.00546,23668927,1063699802.0,0.8559550012227962,40.89
HK.00027,银河娱乐,2019-08-15 00:00:00,41.19,42.24,42.44,40.44,14.593,0.00425,18394287,829163509.0,2.424830261881668,41.24
HK.00027,银河娱乐,2019-08-16 00:00:00,41.94,43.44,44.24,41.49,14.977,0.00622,26969181,1256452297.0,2.8409090909090806,42.24
HK.00027,银河娱乐,2019-08-19 00:00:00,44.44,45.64,46.04,44.29,15.68,0.00422,18300274,896010153.0,5.064456721915292,43.44
HK.00027,银河娱乐,2019-08-20 00:00:00,46.14,45.84,46.59,45.59,15.744,0.0027,11677389,577497449.0,0.4382120946538187,45.64
HK.00027,银河娱乐,2019-08-21 00:00:00,45.79,46.29,46.39,44.64,15.888,0.0014,6065129,298899845.0,0.9816753926701477,45.84
HK.00027,银河娱乐,2019-08-22 00:00:00,46.29,45.74,46.59,45.09,15.712,0.00223,9657874,474149731.0,-1.1881615899762306,46.29
HK.00027,银河娱乐,2019-08-23 00:00:00,45.64,46.04,46.24,45.24,15.808,0.00153,6630378,327037625.0,0.6558810668998626,45.74
HK.00027,银河娱乐,2019-08-26 00:00:00,43.64,45.09,45.19,43.44,15.505,0.00451,19540168,933298639.0,-2.0634231103388267,46.04
HK.00027,银河娱乐,2019-08-27 00:00:00,45.39,45.34,45.94,44.84,15.585,0.00152,6592437,320876389.0,0.5544466622310933,45.09
HK.00027,银河娱乐,2019-08-28 00:00:00,45.54,46.34,46.34,45.24,15.904,0.00232,10049046,497133585.0,2.205558006175562,45.34
HK.00027,银河娱乐,2019-08-29 00:00:00,46.59,46.24,46.69,45.34,15.872,0.00238,10300520,507140619.0,-0.2157962883038442,46.34
HK.00027,银河娱乐,2019-08-30 00:00:00,46.59,45.79,47.04,45.04,15.728,0.00283,12282777,607923236.0,-0.9731833910034663,46.24
HK.00027,银河娱乐,2019-09-02 00:00:00,44.69,45.29,45.29,44.04,15.569,0.00299,12942756,623305571.0,-1.0919414719371043,45.79
HK.00027,银河娱乐,2019-09-03 00:00:00,45.09,45.59,46.39,45.09,15.664,0.002,8646213,424508574.0,0.6623978803267924,45.29
HK.00027,银河娱乐,2019-09-04 00:00:00,45.79,48.39,48.94,45.69,16.56,0.00409,17731809,907847360.0,6.14169774073261,45.59
HK.00027,银河娱乐,2019-09-05 00:00:00,48.29,48.49,48.84,47.74,16.592,0.00212,9193098,475843510.0,0.20665426741062498,48.39
HK.00027,银河娱乐,2019-09-06 00:00:00,48.94,49.59,49.94,48.54,16.943,0.00256,11095179,586183652.0,2.2685089709218427,48.49
HK.00027,银河娱乐,2019-09-09 00:00:00,49.44,49.34,49.89,48.69,16.863,0.0011,4765672,251010344.0,-0.504133897963299,49.59
HK.00027,银河娱乐,2019-09-10 00:00:00,49.59,49.84,50.09,49.04,17.023,0.00109,4742498,251468090.0,1.0133765707336846,49.34
HK.00027,银河娱乐,2019-09-11 00:00:00,50.19,50.29,51.04,49.69,17.167,0.00206,8944089,481095089.0,0.9028892455858661,49.84
HK.00027,银河娱乐,2019-09-12 00:00:00,51.09,49.89,51.09,49.79,17.039,0.00127,5511071,296275221.0,-0.7953867568104962,50.29
HK.00027,银河娱乐,2019-09-13 00:00:00,49.99,50.59,50.74,48.79,17.263,0.00138,5983512,319354358.0,1.4030867909400737,49.89
HK.00027,银河娱乐,2019-09-16 00:00:00,50.59,49.34,50.74,48.94,16.863,0.00156,6760000,356584192.0,-2.4708440403241747,50.59
HK.00027,银河娱乐,2019-09-17 00:00:00,49.34,48.39,49.34,47.84,16.56,0.00141,6120221,317256234.0,-1.9254154843940063,49.34
HK.00027,银河娱乐,2019-09-18 00:00:00,48.79,48.44,48.94,48.24,16.576,0.00089,3853872,200494119.0,0.10332713370530514,48.39
HK.00027,银河娱乐,2019-09-19 00:00:00,48.99,47.94,48.99,47.39,16.416,0.0018,7783879,398462172.0,-1.032204789430223,48.44
HK.00027,银河娱乐,2019-09-20 00:00:00,48.54,47.59,48.54,47.24,16.304,0.00154,6685672,340765923.0,-0.7300792657488409,47.94
HK.00027,银河娱乐,2019-09-23 00:00:00,47.59,46.64,48.09,46.39,16.0,0.00149,6456445,324073443.0,-1.9962176927926092,47.59
HK.00027,银河娱乐,2019-09-24 00:00:00,46.95,46.55,47.05,46.35,15.824,0.00164,7120212,353204359.0,-0.19296740994854933,46.64
HK.00027,银河娱乐,2019-09-25 00:00:00,46.95,45.65,46.95,45.45,15.537,0.00189,8206060,399668024.0,-1.933404940923735,46.55
HK.00027,银河娱乐,2019-09-26 00:00:00,45.25,45.7,46.05,45.25,15.553,0.00174,7530706,365462590.0,0.10952902519168514,45.65
HK.00027,银河娱乐,2019-09-27 00:00:00,45.3,45.35,45.6,44.85,15.441,0.00108,4680494,225964717.0,-0.7658643326039418,45.7
HK.00027,银河娱乐,2019-09-30 00:00:00,45.05,45.8,46.1,44.7,15.585,0.00265,11496051,556739561.0,0.9922822491730886,45.35
HK.00027,银河娱乐,2019-10-02 00:00:00,45.05,45.75,46.35,44.8,15.569,0.00184,7967888,386851643.0,-0.10917030567684968,45.8
HK.00027,银河娱乐,2019-10-03 00:00:00,46.05,47.05,47.15,45.5,15.984,0.00295,12775107,630988829.0,2.8415300546448026,45.75
HK.00027,银河娱乐,2019-10-04 00:00:00,47.2,45.7,47.35,45.25,15.553,0.00294,12720599,623531564.0,-2.869287991498394,47.05
HK.00027,银河娱乐,2019-10-08 00:00:00,46.85,45.2,46.85,44.9,15.393,0.00269,11654425,564550851.0,-1.0940919037199124,45.7
HK.00027,银河娱乐,2019-10-09 00:00:00,44.75,44.55,45.3,43.9,15.185,0.00287,12425612,590377499.0,-1.4380530973451453,45.2
