code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00388,香港交易所,2019-06-03,186.32,185.52,187.32,182.52,32.88,0.00283,3565386,877111009.0,-1.4868309260832535,188.32
HK.00388,香港交易所,2019-06-04,188.32,183.52,188.32,183.12,32.613,0.00322,4049820,994609875.0,-1.0780508840017249,185.52
HK.00388,香港交易所,2019-06-05,187.92,187.72,189.32,185.72,33.173,0.00377,4742195,1180872153.0,2.288578901482121,183.52
HK.00388,香港交易所,2019-06-06,188.92,189.52,192.92,188.32,33.413,0.00319,4017953,1010044475.0,0.9588749200937626,187.72
HK.00388,香港交易所,2019-06-10,195.92,196.92,196.92,192.12,34.4,0.00521,6555626,1683568485.0,3.904601097509486,189.52
HK.00388,香港交易所,2019-06-11,198.72,203.72,205.72,197.92,35.306,0.00666,8382651,2218032346.0,3.453178955921192,196.92
HK.00388,香港交易所,2019-06-12,200.92,198.12,201.12,197.319999999,34.56,0.00385,4844931,1259163193.0,-2.7488709994109533,203.72
HK.00388,香港交易所,2019-06-13,197.12,201.319999999,201.72,193.92,34.986,0.00457,5744564,1489774533.0,1.6151827170401774,198.12
HK.00388,香港交易所,2019-06-14,200.52,199.319999999,201.319999999,197.12,34.72,0.00262,3299767,857401674.0,-0.9934432743939672,201.319999999
HK.00388,香港交易所,2019-06-17,202.319999999,202.72,203.72,200.52,35.173,0.0042,5284843,1393049282.0,1.7057997195550136,199.319999999
HK.00388,香港交易所,2019-06-18,204.319999999,209.92,210.12,203.12,36.133,0.00912,11479952,3084265602.0,3.551696921862662,202.72
HK.00388,香港交易所,2019-06-19,216.92,216.72,217.52,214.52,37.04,0.0072,9060410,2511567343.0,3.2393292682926886,209.92
HK.00388,香港交易所,2019-06-20,216.72,217.12,217.92,214.92,37.093,0.00403,5070032,1407251548.0,0.184569952011815,216.72
HK.00388,香港交易所,2019-06-21,216.92,215.72,217.52,213.319999999,36.906,0.00519,6527586,1805017545.0,-0.6448047162859274,217.12
HK.00388,香港交易所,2019-06-24,214.12,215.32,217.92,214.12,36.853,0.00243,3057332,846910740.0,-0.1854255516410187,215.72
HK.00388,香港交易所,2019-06-25,215.32,211.12,215.92,210.52,36.293,0.00348,4373997,1194512659.0,-1.9505851755526604,215.32
HK.00388,香港交易所,2019-06-26,209.92,212.12,214.52,209.72,36.426,0.00191,2404531,657236631.0,0.473664266767715,211.12
HK.00388,香港交易所,2019-06-27,213.92,215.92,215.92,212.92,36.933,0.00275,3463492,955756973.0,1.7914388082217532,212.12
HK.00388,香港交易所,2019-06-28,215.92,214.72,215.92,211.52,36.773,0.00253,3182699,874855679.0,-0.5557613931085534,215.92
HK.00388,香港交易所,2019-07-02,218.92,218.92,220.92,217.92,37.333,0.00445,5599283,1569176195.0,1.956035767511172,214.72
