code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.01800,中国交通建设,2025-07-07,4.97071,4.98071,5.00071,4.96071,3.23,0.00224,9906000,50575040.0,0.0,4.98071
HK.01800,中国交通建设,2025-07-08,4.99071,5.00071,5.01071,4.96071,3.242,0.00142,6276088,32093613.0,0.40154917672379187,4.98071
HK.01800,中国交通建设,2025-07-09,5.00071,5.11071,5.12071,4.98071,3.312,0.00525,23213228,120905931.0,2.199687644354508,5.00071
HK.01800,中国交通建设,2025-07-10,5.12071,5.21071,5.21071,5.09071,3.375,0.00381,16820072,88823103.0,1.9566752956047133,5.11071
HK.01800,中国交通建设,2025-07-11,5.20071,5.21071,5.27071,5.17071,3.375,0.00469,20737281,111131643.0,0.0,5.21071
HK.01800,中国交通建设,2025-07-14,5.20071,5.28071,5.33071,5.19071,3.419,0.00467,20642031,111903887.0,1.3433869856507135,5.21071
HK.01800,中国交通建设,2025-07-15,5.29071,5.25071,5.34071,5.18071,3.4,0.00285,12596093,67612178.0,-0.568105425217447,5.28071
HK.01800,中国交通建设,2025-07-16,5.25071,5.19071,5.26071,5.14071,3.362,0.00371,16407000,87123360.0,-1.1427026059332854,5.25071
HK.01800,中国交通建设,2025-07-17,5.19071,5.22071,5.22071,5.14071,3.381,0.00154,6791000,36085500.0,0.5779556168616673,5.19071
HK.01800,中国交通建设,2025-07-18,5.18071,5.23071,5.24071,5.17071,3.388,0.00159,7021020,37564916.0,0.19154482819386226,5.22071
HK.01800,中国交通建设,2025-07-21,5.42071,5.42071,5.51071,5.35071,3.508,0.01339,59179110,327501430.0,3.6323940726975783,5.23071
HK.01800,中国交通建设,2025-07-22,5.45071,5.84071,5.98071,5.37071,3.773,0.05342,236023135,1404035123.0,7.748062523175007,5.42071
HK.01800,中国交通建设,2025-07-23,5.92071,5.69071,5.96071,5.66071,3.678,0.01517,67049292,394907450.0,-2.568180923209669,5.84071
HK.01800,中国交通建设,2025-07-24,5.69071,5.75071,5.80071,5.60071,3.716,0.00732,32356535,189840453.0,1.0543499844483308,5.69071
HK.01800,中国交通建设,2025-07-25,5.75071,5.69071,5.78071,5.67071,3.678,0.00641,28323210,165423547.0,-1.0433494298964756,5.75071
HK.01800,中国交通建设,2025-07-28,5.70071,5.70071,5.77071,5.66071,3.685,0.00485,21444010,125417898.0,0.17572499740805256,5.69071
HK.01800,中国交通建设,2025-07-29,5.67071,5.64071,5.71071,5.56071,3.647,0.00623,27525575,157940348.0,-1.0525004780106268,5.70071
HK.01800,中国交通建设,2025-07-30,5.64071,5.67071,5.70071,5.61071,3.666,0.00285,12596950,73015762.0,0.5318479411279672,5.64071
HK.01800,中国交通建设,2025-07-31,5.63071,5.52071,5.63071,5.45071,3.571,0.00521,23021000,130276600.0,-2.645171415924981,5.67071
HK.01800,中国交通建设,2025-08-01,5.55071,5.49071,5.55071,5.45071,3.552,0.00279,12306081,69145988.0,-0.5434083659529344,5.52071
HK.01800,中国交通建设,2025-08-04,5.46071,5.47071,5.49071,5.43071,3.539,0.00137,6046000,33801720.0,-0.3642516177324895,5.49071
