code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03066,FA南方比特币,2025-07-07,37.26,37.2,37.4,37.1,0.0,0.00402,55900,2082132.0,0.16155088852989305,37.14
HK.03066,FA南方比特币,2025-07-08,36.98,36.94,37.02,36.64,0.0,0.0059,81935,3011186.0,-0.6989247311828094,37.2
HK.03066,FA南方比特币,2025-07-09,37.14,37.0,37.14,36.9,0.0,0.00477,66300,2455474.0,0.16242555495398558,36.94
HK.03066,FA南方比特币,2025-07-10,37.6,37.96,38.04,37.6,0.0,0.01538,213600,8109240.0,2.594594594594597,37.0
HK.03066,FA南方比特币,2025-07-11,39.12,40.1,40.36,39.12,0.0,0.04143,575436,22978910.0,5.637513171759748,37.96
HK.03066,FA南方比特币,2025-07-14,40.58,41.86,41.94,40.56,0.0,0.04691,651562,26681890.0,4.389027431421441,40.1
HK.03066,FA南方比特币,2025-07-15,40.98,39.84,40.98,39.72,0.0,0.02873,399100,15988322.0,-4.825609173435251,41.86
HK.03066,FA南方比特币,2025-07-16,40.02,40.24,40.36,39.88,0.0,0.02355,327100,13131186.0,1.0040160642570244,39.84
HK.03066,FA南方比特币,2025-07-17,40.5,40.36,40.5,40.12,0.0,0.00532,73900,2979680.0,0.2982107355864747,40.24
HK.03066,FA南方比特币,2025-07-18,40.92,40.68,41.16,40.66,0.0,0.02502,347500,14236828.0,0.7928642220019828,40.36
HK.03066,FA南方比特币,2025-07-21,40.6,40.64,40.68,39.72,0.0,0.0113,156900,6307916.0,-0.09832841691248562,40.68
HK.03066,FA南方比特币,2025-07-22,40.0,40.14,40.3,39.7,0.0,0.01822,253139,10117357.0,-1.230314960629921,40.64
HK.03066,FA南方比特币,2025-07-23,40.86,40.22,40.86,40.22,0.0,0.03291,457100,18452330.0,0.19930244145490356,40.14
HK.03066,FA南方比特币,2025-07-24,40.4,40.26,40.52,39.86,0.0,0.01336,185600,7486330.0,0.0994530084535036,40.22
HK.03066,FA南方比特币,2025-07-25,40.06,39.16,40.06,38.96,0.0,0.03057,424600,16743714.0,-2.732240437158474,40.26
HK.03066,FA南方比特币,2025-07-28,40.02,40.36,40.74,40.02,0.0,0.01665,231300,9373732.0,3.064351378958128,39.16
HK.03066,FA南方比特币,2025-07-29,40.2,40.46,40.6,39.98,0.0,0.00703,87100,3500458.0,0.24777006937562293,40.36
HK.03066,FA南方比特币,2025-07-30,39.9,40.14,40.2,39.9,0.0,0.00945,117100,4689872.0,-0.7909045971329715,40.46
HK.03066,FA南方比特币,2025-07-31,40.14,40.22,40.4,40.02,0.0,0.01199,148560,5966292.0,0.19930244145490356,40.14
HK.03066,FA南方比特币,2025-08-01,39.12,38.82,39.38,38.72,0.0,0.01871,231800,9012530.0,-3.4808552958726966,40.22
HK.03066,FA南方比特币,2025-08-04,38.8,38.78,38.82,38.56,0.0,0.01801,223200,8649034.0,-0.10303967027305291,38.82
HK.03066,FA南方比特币,2025-08-05,38.8,38.58,38.9,38.42,0.0,0.00666,82500,3189360.0,-0.5157297576070212,38.78
HK.03066,FA南方比特币,2025-08-06,38.56,38.66,38.74,38.36,0.0,0.00918,113700,4378148.0,0.20736132711248909,38.58
HK.03066,FA南方比特币,2025-08-07,38.9,38.84,38.9,38.66,0.0,0.00282,34934,1357527.0,0.46559751681326134,38.66
HK.03066,FA南方比特币,2025-08-08,39.38,39.52,39.64,39.38,0.0,0.01146,141946,5616564.0,1.7507723995880526,38.84
HK.03066,FA南方比特币,2025-08-11,40.16,41.16,41.48,40.16,0.0,0.06088,754322,31085775.0,4.149797570850185,39.52
HK.03066,FA南方比特币,2025-08-12,40.58,40.22,40.58,40.08,0.0,0.0133,164800,6632582.0,-2.2837706511175844,41.16
HK.03066,FA南方比特币,2025-08-13,40.44,40.4,40.44,40.2,0.0,0.01689,209300,8440210.0,0.44753853804077504,40.22
HK.03066,FA南方比特币,2025-08-14,41.6,41.26,41.98,41.12,0.0,0.04312,555822,23196167.0,2.1287128712871275,40.4
HK.03066,FA南方比特币,2025-08-15,40.5,40.06,40.26,40.0,0.0,0.01661,222400,8926680.0,-2.90838584585554,41.26
HK.03066,FA南方比特币,2025-08-18,40.0,38.82,40.0,38.7,0.0,0.02673,357900,13956004.0,-3.095356964553175,40.06
HK.03066,FA南方比特币,2025-08-19,39.0,38.56,39.0,38.46,0.0,0.01055,141300,5468694.0,-0.6697578567748532,38.82
HK.03066,FA南方比特币,2025-08-20,38.28,38.14,38.28,37.74,0.0,0.02575,344800,13099116.0,-1.0892116182572658,38.56
HK.03066,FA南方比特币,2025-08-21,38.28,38.22,38.58,38.12,0.0,0.00966,129412,4951587.0,0.20975353959097615,38.14
HK.03066,FA南方比特币,2025-08-22,37.96,38.02,38.12,37.78,0.0,0.01949,261000,9913204.0,-0.5232862375719407,38.22
HK.03066,FA南方比特币,2025-08-25,38.02,37.44,38.16,37.4,0.0,0.0177,237000,8960894.0,-1.5255128879537225,38.02
HK.03066,FA南方比特币,2025-08-26,36.92,36.98,37.06,36.78,0.0,0.01688,226000,8342548.0,-1.228632478632481,37.44
HK.03066,FA南方比特币,2025-08-27,37.18,37.02,37.28,37.0,0.0,0.00715,95700,3557376.0,0.10816657652786982,36.98
HK.03066,FA南方比特币,2025-08-28,37.04,37.94,38.0,37.04,0.0,0.00543,72700,2733940.0,2.4851431658562793,37.02
HK.03066,FA南方比特币,2025-08-29,37.94,36.76,37.44,36.74,0.0,0.00727,97400,3616998.0,-3.1101739588824455,37.94
HK.03066,FA南方比特币,2025-09-01,36.42,36.6,36.6,35.86,0.0,0.01445,193456,6983403.0,-0.4352557127312203,36.76
HK.03066,FA南方比特币,2025-09-02,36.6,36.86,37.04,36.46,0.0,0.00465,62200,2291590.0,0.7103825136611968,36.6
HK.03066,FA南方比特币,2025-09-03,37.14,37.22,37.3,37.06,0.0,0.00462,61900,2300528.0,0.9766684753119897,36.86
HK.03066,FA南方比特币,2025-09-04,37.44,36.94,37.5,36.84,0.0,0.00238,31900,1186170.0,-0.7522837184309542,37.22
HK.03066,FA南方比特币,2025-09-05,36.98,37.76,37.78,36.98,0.0,0.00582,77920,2913628.0,2.2198159177043864,36.94
HK.03066,FA南方比特币,2025-09-08,37.18,37.16,37.28,36.92,0.0,0.00973,130300,4831894.0,-1.5889830508474614,37.76
HK.03066,FA南方比特币,2025-09-09,37.16,37.7,37.82,37.04,0.0,0.01376,184200,6873900.0,1.4531754574811795,37.16
HK.03066,FA南方比特币,2025-09-10,37.2,37.62,37.62,36.96,0.0,0.00532,71300,2653078.0,-0.21220159151195064,37.7
HK.03066,FA南方比特币,2025-09-11,37.8,38.04,38.2,37.8,0.0,0.01184,158500,6030430.0,1.1164274322169105,37.62
HK.03066,FA南方比特币,2025-09-12,38.52,38.3,38.6,38.3,0.0,0.01231,164900,6341764.0,0.6834910620399527,38.04
HK.03066,FA南方比特币,2025-09-15,38.3,38.54,38.82,38.3,0.0,0.00848,113500,4377018.0,0.626631853785906,38.3
HK.03066,FA南方比特币,2025-09-16,38.54,38.56,38.62,38.2,0.0,0.0071,95100,3651708.0,0.05189413596264434,38.54
HK.03066,FA南方比特币,2025-09-17,38.86,39.04,39.04,38.76,0.0,0.00987,132100,5135518.0,1.2448132780082906,38.56
HK.03066,FA南方比特币,2025-09-18,39.04,38.9,39.24,38.66,0.0,0.01063,142400,5543870.0,-0.35860655737705066,39.04
HK.03066,FA南方比特币,2025-09-19,38.9,38.88,39.0,38.8,0.0,0.00212,28446,1106131.0,-0.05141388174806175,38.9
HK.03066,FA南方比特币,2025-09-22,38.7,37.32,38.7,37.12,0.0,0.01084,145200,5475404.0,-4.012345679012351,38.88
HK.03066,FA南方比特币,2025-09-23,37.32,37.5,37.54,37.04,0.0,0.00675,90400,3377968.0,0.48231511254019216,37.32
HK.03066,FA南方比特币,2025-09-24,37.4,37.38,37.4,37.06,0.0,0.00285,38100,1420450.0,-0.3199999999999932,37.5
HK.03066,FA南方比特币,2025-09-25,37.44,37.04,37.48,36.92,0.0,0.00624,83500,3108106.0,-0.9095773140717053,37.38
HK.03066,FA南方比特币,2025-09-26,36.62,36.16,36.62,36.08,0.0,0.01041,139400,5056962.0,-2.3758099352051905,37.04
HK.03066,FA南方比特币,2025-09-29,37.02,37.04,37.14,36.92,0.0,0.00598,80115,2967158.0,2.433628318584078,36.16
HK.03066,FA南方比特币,2025-09-30,37.94,37.68,38.06,37.68,0.0,0.0167,223608,8478777.0,1.7278617710583168,37.04
HK.03066,FA南方比特币,2025-10-02,39.0,39.32,39.48,39.0,0.0,0.01545,206908,8137771.0,4.3524416135881125,37.68
HK.03066,FA南方比特币,2025-10-03,39.68,39.74,40.0,39.68,0.0,0.01064,142500,5678696.0,1.068158697863687,39.32
HK.03066,FA南方比特币,2025-10-06,40.8,40.96,41.22,40.8,0.0,0.02061,275950,11332317.0,3.0699547055863077,39.74
HK.03066,FA南方比特币,2025-10-08,40.78,40.2,40.78,40.14,0.0,0.01357,181700,7324960.0,-1.8554687499999951,40.96
HK.03066,FA南方比特币,2025-10-09,40.5,40.32,40.52,40.2,0.0,0.01092,146221,5897555.0,0.2985074626865608,40.2
HK.03066,FA南方比特币,2025-10-10,40.32,40.04,40.32,39.98,0.0,0.01149,153800,6174734.0,-0.6944444444444473,40.32
HK.03066,FA南方比特币,2025-10-13,38.9,38.1,38.9,37.8,0.0,0.0298,399000,15198046.0,-4.845154845154839,40.04
HK.03066,FA南方比特币,2025-10-14,38.0,36.82,38.06,36.78,0.0,0.01349,180700,6719188.0,-3.359580052493441,38.1
HK.03066,FA南方比特币,2025-10-15,36.82,37.18,37.42,36.82,0.0,0.00768,102800,3822052.0,0.9777294948397593,36.82
HK.03066,FA南方比特币,2025-10-16,36.7,36.5,36.84,36.48,0.0,0.0101,135300,4957302.0,-1.8289402904787513,37.18
HK.03066,FA南方比特币,2025-10-17,36.0,34.8,36.0,34.74,0.0,0.0255,341472,12126858.0,-4.65753424657535,36.5
HK.03066,FA南方比特币,2025-10-20,35.8,36.58,36.66,35.52,0.0,0.0146,195552,7052078.0,5.114942528735636,34.8
