code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00914,海螺水泥,2025-07-07,20.88703,21.18703,21.33703,20.73703,13.071,0.00858,11150695,239498587.0,1.4362980280106876,20.88703
HK.00914,海螺水泥,2025-07-08,21.18703,21.08703,21.43703,20.38703,13.01,0.00388,5036459,107495340.0,-0.471986871213197,21.18703
HK.00914,海螺水泥,2025-07-09,21.08703,21.18703,21.68703,21.08703,13.071,0.00575,7473484,161775111.0,0.4742251516690659,21.08703
HK.00914,海螺水泥,2025-07-10,20.93703,22.13703,22.33703,20.93703,13.65,0.01048,13621080,303233708.0,4.483875276525305,21.18703
HK.00914,海螺水泥,2025-07-11,22.43703,22.58703,22.73703,22.08703,13.924,0.00968,12585326,286585844.0,2.032793016949425,22.13703
HK.00914,海螺水泥,2025-07-14,22.93703,23.93703,23.98703,22.63703,14.747,0.01442,18737082,447878906.0,5.9768814226571685,22.58703
HK.00914,海螺水泥,2025-07-15,24.18703,22.83703,24.23703,22.53703,14.076,0.01318,17123505,398028544.0,-4.595390489129192,23.93703
HK.00914,海螺水泥,2025-07-16,22.73703,22.08703,22.73703,21.63703,13.619,0.01224,15904267,354782850.0,-3.2841398377985227,22.83703
HK.00914,海螺水泥,2025-07-17,22.08703,21.78703,22.13703,21.43703,13.436,0.00556,7231800,158999102.0,-1.3582631979039155,22.08703
HK.00914,海螺水泥,2025-07-18,21.98703,21.98703,22.23703,21.63703,13.558,0.00472,6134232,135862339.0,0.917977347073003,21.78703
HK.00914,海螺水泥,2025-07-21,23.58703,23.98703,24.08703,22.58703,14.777,0.03177,41291296,978069623.0,9.09627175657649,21.98703
HK.00914,海螺水泥,2025-07-22,24.18703,24.58703,25.18703,23.43703,15.143,0.0374,48607719,1198484266.0,2.5013517721868768,23.98703
HK.00914,海螺水泥,2025-07-23,25.08703,23.53703,25.13703,23.43703,14.503,0.01932,25105170,606760376.0,-4.270544266631624,24.58703
HK.00914,海螺水泥,2025-07-24,23.53703,23.73703,23.88703,23.13703,14.625,0.01155,15004923,358483547.0,0.8497248803268692,23.53703
HK.00914,海螺水泥,2025-07-25,24.03703,23.33703,24.18703,23.28703,14.381,0.01034,13432139,321504388.0,-1.6851307851066546,23.73703
HK.00914,海螺水泥,2025-07-28,23.38703,23.68703,23.93703,23.08703,14.594,0.00579,7521943,179875463.0,1.499762394786318,23.33703
HK.00914,海螺水泥,2025-07-29,23.48703,23.63703,23.63703,22.98703,14.564,0.00576,7484193,176294596.0,-0.2110859824975977,23.68703
HK.00914,海螺水泥,2025-07-30,23.23703,23.28703,23.63703,23.23703,14.351,0.00469,6089313,144164424.0,-1.480727485644338,23.63703
HK.00914,海螺水泥,2025-07-31,23.13703,22.43703,23.13703,22.28703,13.833,0.00686,8916541,203183797.0,-3.650100506591014,23.28703
HK.00914,海螺水泥,2025-08-01,22.43703,22.38703,22.68703,22.18703,13.802,0.00444,5774071,130975505.0,-0.22284589359643728,22.43703
HK.00914,海螺水泥,2025-08-04,22.37703,22.35703,22.45703,21.97703,13.784,0.0026,3374197,76010757.0,-0.13400616339013074,22.38703
HK.00914,海螺水泥,2025-08-05,22.23703,22.31703,22.69703,22.15703,13.759,0.0045,5852031,132170724.0,-0.17891464116657133,22.35703
HK.00914,海螺水泥,2025-08-06,22.49703,22.41703,22.51703,22.29703,13.82,0.00253,3288719,74476855.0,0.4480882984877532,22.31703
HK.00914,海螺水泥,2025-08-07,22.61703,22.79703,23.01703,22.37703,14.052,0.00534,6942787,159513290.0,1.6951398111168117,22.41703
HK.00914,海螺水泥,2025-08-08,22.83703,23.59703,23.75703,22.73703,14.539,0.0098,12730118,301474634.0,3.509229053082795,22.79703
HK.00914,海螺水泥,2025-08-11,23.93703,24.53703,24.59703,23.91703,15.112,0.01349,17525464,430706043.0,3.983552167370221,23.59703
HK.00914,海螺水泥,2025-08-12,24.53703,24.67703,24.77703,24.43703,15.198,0.00979,12718713,316296481.0,0.5705662013699172,24.53703
HK.00914,海螺水泥,2025-08-13,24.73703,24.53703,24.81703,24.41703,15.112,0.00973,12642991,312851343.0,-0.5673292126321402,24.67703
HK.00914,海螺水泥,2025-08-14,24.53703,24.53703,25.01703,24.35703,15.112,0.01006,13076930,324455982.0,0.0,24.53703
HK.00914,海螺水泥,2025-08-15,24.25703,24.43703,24.59703,24.25703,15.051,0.00741,9631500,238229256.0,-0.4075472866928125,24.53703
HK.00914,海螺水泥,2025-08-18,24.33703,24.45703,24.67703,24.23703,15.063,0.00641,8323960,206430871.0,0.08184300629004251,24.43703
HK.00914,海螺水泥,2025-08-19,24.45703,24.09703,24.51703,24.03703,14.844,0.00738,9590902,234519847.0,-1.4719694092046314,24.45703
HK.00914,海螺水泥,2025-08-20,24.09703,23.97703,24.29703,23.65703,14.771,0.00512,6654762,160076676.0,-0.4979866813462115,24.09703
HK.00914,海螺水泥,2025-08-21,24.15703,23.75703,24.43703,23.57703,14.637,0.00782,10169072,245196298.0,-0.917544833534424,23.97703
HK.00914,海螺水泥,2025-08-22,23.75703,23.53703,23.75703,23.37703,14.503,0.00399,5189246,123276272.0,-0.9260416811360632,23.75703
HK.00914,海螺水泥,2025-08-25,23.65703,23.93703,24.23703,23.51703,14.747,0.00544,7064159,170957771.0,1.6994497606537384,23.53703
HK.00914,海螺水泥,2025-08-26,24.19703,23.91703,24.19703,23.73703,14.734,0.00527,6843341,165472733.0,-0.0835525543478016,23.93703
HK.00914,海螺水泥,2025-08-27,24.69703,24.19703,25.09703,24.15703,14.905,0.009,11692091,289793463.0,1.170713922255402,23.91703
HK.00914,海螺水泥,2025-08-28,24.23703,23.65703,24.33703,23.35703,14.576,0.0053,6883726,164854276.0,-2.2316788465361355,24.19703
HK.00914,海螺水泥,2025-08-29,23.67703,24.23703,24.39703,23.67703,14.929,0.01439,18698625,458119820.0,2.4517025171798905,23.65703
HK.00914,海螺水泥,2025-09-01,24.83703,24.33703,24.83703,24.25703,14.99,0.00424,5505720,135892937.0,0.41259180683440944,24.23703
HK.00914,海螺水泥,2025-09-02,24.45703,23.95703,24.57703,23.89703,14.759,0.01245,16182352,396696214.0,-1.5614066301434442,24.33703
HK.00914,海螺水泥,2025-09-03,23.99703,23.47703,24.09703,23.33703,14.466,0.00656,8529211,203056543.0,-2.0035872560162944,23.95703
HK.00914,海螺水泥,2025-09-04,23.73703,23.39703,23.73703,23.15703,14.418,0.00848,11017720,259894480.0,-0.34075860532613494,23.47703
HK.00914,海螺水泥,2025-09-05,23.39703,23.71703,23.75703,23.37703,14.613,0.00333,4322381,103198256.0,1.36769495957393,23.39703
